NLab,Year,Finca,Densidad,Sexo,Edad,EdadClase,CondicionCorporal,ELISAInfluenza,ELISAPRRS,ELISAADV,ELISAPPV,ELISAPCV,ELISAPCV2,PCRMycoPul,PCRHaemoPul,PCRAPPPul,PCRPCVPul,Metastronguilus_Clas,Metastrongilus,Lesion_Pulm,Tipo,Duracion,Score,NL_TRQ,NIntersticial,Bronconeumonia,Pleuritis,Peribronquitis,Bronquitis,HiperNT2,Enfisema,Necrosis,Score_Micro,Tej_Conjuntivo,Granulomas,Granuloma_Pul,Tipo_Granuloma,Granuloma_NL,TB_Generalizada,TB
2344,2011-2012,Valdecasillas,17,Macho,6,Adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2345,2011-2012,Valdecasillas,17,Hembra,1,NonAdult,7.325695621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2346,2011-2012,Valdecasillas,17,Macho,1.3,NonAdult,-3.905348432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2347,2011-2012,Valdecasillas,17,Macho,1,NonAdult,-3.546740502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2348,2011-2012,Valdecasillas,17,Hembra,0.8,NonAdult,4.9325943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2349,2011-2012,Valdecasillas,17,Macho,0.35,NonAdult,-2.963925524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2350,2011-2012,Valdecasillas,17,Hembra,5,Adult,0.608479762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2352,2011-2012,Valdecasillas,17,Hembra,0.85,NonAdult,-2.298449753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2355,2011-2012,Valdecasillas,17,Hembra,0.9,NonAdult,7.701550247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2357,2011-2012,Valdecasillas,17,Hembra,0.9,NonAdult,3.718796943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2372,2011-2012,LasJaras,23,Hembra,2.9,Adult,11.66705685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2394,2011-2012,LasJaras,23,Hembra,4,Adult,-3.563987198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2396,2011-2012,LasJaras,23,Macho,1,NonAdult,-11.47775372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2399,2011-2012,LasJaras,23,Hembra,4,Adult,10.64981016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2405,2011-2012,LasJaras,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
